Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Gabriela Women's Party,@GabrielaWomenPL,"https://pbs.twimg.com/media/GUlyIVfbkAAqSwh?format=jpg&name=360x360, https://pbs.twimg.com/media/GUlyIVfbkAAqSwh?format=jpg&name=360x360",13,22,1,853,https://x.com/GabrielaWomenPL/status/1822113024087580976,https://x.com/GabrielaWomenPL,"Namigay ng 500 relief packs ang Gabriela Women's Party para sa mga pamilyang nasalanta ng #TyphoonCarina sa Cavite.

Patuloy ang panawagan ng kababaihan na itigil ang development aggression sa mga komunidad na nagpapatindi ng epekto ng sakuna.",Aug 9,2024-08-10T03:29:32.000Z
SAKA,@PilipinasSaka,"https://pbs.twimg.com/media/GTd7e8BbkAAifA9?format=jpg&name=small, https://pbs.twimg.com/media/GTd7e8BbkAAifA9?format=jpg&name=small",13,26,2,3K,https://x.com/PilipinasSaka/status/1817056754892484630,https://x.com/PilipinasSaka,"Thanks to friends and allies around the world who have contributed to our call for donations. Your support has provided a relief supply of rice and other goods to several communities.

#TyphoonCarina #CarinaPH",Jul 26,2024-07-27T04:37:44.000Z
Jon Phenom,@jonphenom,"https://pbs.twimg.com/ext_tw_video_thumb/1826062993123102720/pu/img/o8dsfrPemFW2HKMy.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1826062993123102720/pu/img/o8dsfrPemFW2HKMy.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1826062993123102720/pu/img/o8dsfrPemFW2HKMy.jpg",,,,27,https://x.com/jonphenom/status/1826063179438326204,https://x.com/jonphenom,Drove through #TyphoonCarina to meet Marvin @mcmarvin143 Designer at ONLV (One Love Co.) founder at High Standard Cut & Sew   in #cavite #dasmariñas #philippines,Aug 20,2024-08-21T01:06:03.000Z
BAYAN MUNA Partylist,@BayanMuna,"https://pbs.twimg.com/ext_tw_video_thumb/1822485422792167424/pu/img/3A22GaT9A7XubIWt.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1822485422792167424/pu/img/3A22GaT9A7XubIWt.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1822485422792167424/pu/img/3A22GaT9A7XubIWt.jpg",1,3,,125,https://x.com/BayanMuna/status/1822485463418220807,https://x.com/BayanMuna,"Bayanihan sa Kasiglahan [Aug 10, 2024 Relief Operation] Dahil sa pagtutulungan, matagumpay ang ating relief ops para sa mga nasalanta ng #TyphoonCarina. Maraming salamat sa donors & volunteers! Tuloy ang ating laban para ipagtanggol ang kalikasan at wastong paggamit ng pondo ng",Aug 10,2024-08-11T04:09:29.000Z
"angelina, RPm",@cupofcoj,"https://pbs.twimg.com/media/GTqKaJgbYAABffL?format=jpg&name=360x360, https://pbs.twimg.com/media/GTqKaJgbYAABffL?format=jpg&name=360x360",8,15,1,945,https://x.com/cupofcoj/status/1817917596433600671,https://x.com/cupofcoj,"Total donations for #TyphoonCarina as of July 29, 9:30 PM - Php 2,600

Maraming salamat po sa lahat ng nagdonate at tumulong! We already transferred the amount to Tanging Yaman Foundation for mobilization.

From the bottom of our hearts, tysm! 

#ReliefPH @angatbuhay_ph",Jul 29,2024-07-29T13:38:24.000Z
YS YAKLAŞIYOR,@YsYaklasiyor,"https://pbs.twimg.com/ext_tw_video_thumb/1816583106532421632/pu/img/g-CPLZpPaNVSWxHc.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1816583106532421632/pu/img/g-CPLZpPaNVSWxHc.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1816583106532421632/pu/img/g-CPLZpPaNVSWxHc.jpg",3,57,,746,https://x.com/YsYaklasiyor/status/1816583201516818678,https://x.com/YsYaklasiyor,"Tayvan ve Filipinler'de #CarinaPh olarak da bilinen #Gaemi tayfunu yıkıma neden oldu. Şiddetli yağış ve fırtına yaşandı. 
via:DisasterNews-24/07/24

#TyphoonCarina #TyphoonGaemi #FloodAlert #Taiwan #Philippines #BreakingNews‌ #SonDakika",Jul 25,2024-07-25T21:16:00.000Z
Sudarshan_World,@Sudarshan_World,"https://pbs.twimg.com/media/GTUyvDoaUAAg8bp?format=jpg&name=small, https://pbs.twimg.com/media/GTUyvDoaUAAg8bp?format=jpg&name=small",,,,18,https://x.com/Sudarshan_World/status/1816413818890690827,https://x.com/Sudarshan_World,"Ship with nine crew sinks off Taiwan as typhoon hits
#Taiwan #TyphoonCarina",Jul 25,2024-07-25T10:02:56.000Z
Philippine Air Force,@PhilAirForce,https://pbs.twimg.com/ext_tw_video_thumb/1816106228201971714/pu/img/g1JFNkYGCrQibfhV.jpg,3,9,1,431,https://x.com/PhilAirForce/status/1816106269712998624,https://x.com/PhilAirForce,"YOUR AIR FORCE IN ACTION | PAF 505th Search and Rescue Group and 520th Air Base Group Mobilizes for Typhoon Carina and Habagat Response Efforts

#AcceleratewithExcellence #GuardiansofourPreciousSkies #PAFyoucanTrust #AFPyoucanTrust #StrongAirForceStrongPHILIPPINES #TyphoonCarina",Jul 24,2024-07-24T13:40:50.000Z
Maricel Halili,@halili_maricel,"https://pbs.twimg.com/ext_tw_video_thumb/1817177533412241408/pu/img/0cLOw4dUqX9xRTGo.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1817177533412241408/pu/img/0cLOw4dUqX9xRTGo.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1817177533412241408/pu/img/0cLOw4dUqX9xRTGo.jpg",,,,274,https://x.com/halili_maricel/status/1817177572884754673,https://x.com/halili_maricel,"President Marcos is in San Mateo, Rizal to check the situation in the area @News5PH #TyphoonCarina",Jul 27,2024-07-27T12:37:49.000Z
Nabitia⁷⁼¹ blooms like Yoongi |아포방포 (SLOW),@nabitia_,"https://pbs.twimg.com/media/GTR5Em2WYAI09C6?format=jpg&name=small, https://pbs.twimg.com/media/GTR5Em2WYAI09C6?format=jpg&name=small",9,9,,455,https://x.com/nabitia_/status/1816209692315824512,https://x.com/nabitia_,"If you can help or spread
#TyphoonCarina 

Thank you @OnlyBangtanPH",Jul 24,2024-07-24T20:31:48.000Z
